Maximum values for m = 121 and d = 6:
56 = (-1, -12, -23, -34, -45, 54, 43, 32, 21, 11, 10)
57 = (-2, -13, -24, -35, -46, 53, 42, 31, 22, 20, 9)
58 = (-3, -14, -25, -36, -47, 52, 41, 33, 30, 19, 8)
59 = (-4, -15, -26, -37, -48, 51, 44, 40, 29, 18, 7)
60 = (-5, -16, -27, -38, -49, 55, 50, 39, 28, 17, 6)
-60 = (-6, -17, -28, -39, -50, -55, 49, 38, 27, 16, 5)
-59 = (-7, -18, -29, -40, -44, -51, 48, 37, 26, 15, 4)
-58 = (-8, -19, -30, -33, -41, -52, 47, 36, 25, 14, 3)
-57 = (-9, -20, -22, -31, -42, -53, 46, 35, 24, 13, 2)
-56 = (-10, -11, -21, -32, -43, -54, 45, 34, 23, 12, 1)
